alf,utl,asl,spa,cpm
0.29,8.09,1.53,0.35,3.31
0.35,9.56,2.19,0.33,3.53
0.36,10.8,1.52,0.14,3.96
0.38,5.65,0.82,0.13,4.74
0.38,10.2,1.69,0.3,3.1
0.39,7.94,0.95,0.15,3.69
0.4,13.3,3.61,0.34,2.36
0.4,8.42,1.5,0.36,2.83
0.41,9.57,0.86,0.14,3.31
0.41,9,0.85,0.14,3.04
0.41,9.62,0.84,0.14,2.85
0.41,7.91,1.35,0.19,2.34
0.42,8.83,2.38,0.33,2.78
0.42,8.35,1.03,0.14,3.39
0.43,10.6,2.87,0.13,3.86
0.43,7.52,0.98,0.2,3.46
0.43,8.36,1.91,0.31,2.71
0.44,8.43,1.58,0.16,2.74
0.45,7.55,1.16,0.13,3.76
0.46,7.7,1.12,0.15,2.4
0.47,9.38,1.12,0.15,2.4
0.48,8.91,0.96,0.12,2.96
0.48,7.27,1.42,0.11,3.44
0.48,8.71,1.39,0.11,2.91
0.49,8.29,0.88,0.11,3.14
0.49,9.5,2.52,0.35,2.28
0.5,8.44,0.87,0.12,2.95
0.5,9.47,1.41,0.13,3.31
0.54,10.8,1.58,0.14,2.43
0.54,6.84,1.01,0.12,2.97
0.54,6.31,0.82,0.09,4.02
0.58,8.48,1.96,0.14,2.36
0.59,7.87,1.79,0.14,2.26
